0,0,0,0,0,0,0.0076108,0.037165,0.060428,0,1.6271e-05,0,0,0,0.15616,0,0,0.0018732,0,0.00015231,0,0,0,0.0002284,0,0,0,0,0,0.15596,0.022694,0,0.00047185,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0.0069286,0,0.00059732,0,0.0023555,0,0.0033669,0,0,0,0,5.9616e-05,0,0.047385,0,0.0072857,0.023894,0,0.17637,0,0,0,0,0,0,0.035312,0,0,0,0,0,0,0,0.00016462,0,0,0,0,0,0,0,0,0,0,0,0,0.0057041,0,0.00033823,0.013377,0,0.0025103,0,0,0,0,0
0,0,0,0,0,0,0,0.009469,0.00091994,0,0,0,0,0,0.001616,0,0,0.056882,0,0,0,0.0024206,0.00014039,0.094931,0,0,0.047311,0.080768,0.0014277,3.2958e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.4617e-05,0,0,0,0,0
0,0,0,0,0,0,3.7877e-05,0.00066838,0,0.0020357,0.034934,0,0.022711,0,2.7454e-05,0,0,0,0,0,0.14529,0,0,0,0.14354,0,0,0,0.029151,0.00063022,0,0,0,0,0,0,0.034336,0,0,0,0,0,5.6033e-05,0.0018971,0,0.014088,0,0,0,0,0,0,0,0.024091,0,0,0,0.0009213,0,0,0,0.0010792,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0.00085966,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0.064534,0,0.078928,0,0,0,0,0,0,0,0,0,0,0,0.00035026,0.055072,0.014951,0,0.0025811,0,0.00059992,0,0,0,0,0,0,0.0026911,0,0,0,0,0,0.0037409,0,0.021383,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0094002,0,0,0,0,0
0.0024216,0,0,1.7217e-05,0,0,0,0.0030635,0.015465,0.0075695,0.014308,0.00010942,0.00826,0,0.0019919,0.00069853,0.0023019,1.145e-05,0,3.551e-06,0.00039724,0,0.0033746,0,7.0126e-05,0,1.0666e-05,0.00015036,0.00023591,0.0018239,0.00012503,0,0,0,0,0,0,0,0,0,0,0,0.0034756,0,0,0,0,0,0,0,0,0,0,0,0,0.0058353,0,0.00010797,0,0,0.00078659,0,0,0,0,0
0.0092912,0,0.0043963,0.00023871,0,0,0.002407,0,0.010778,0,0.022129,0,0,0,0.044752,0,0,1.9313e-05,0,0,0,0.0060299,1.3569e-05,0.0033993,0.0015179,0,0.00010197,2.3919e-05,0.099595,0.005847,0.028144,0,6.4399e-05,0,0,0,2.8439e-05,0,0,0,0,0,0,0,0,0,0,0,2.0956e-05,0,0,0,0,0,0,0,0,5.49e-06,0,0,0,8.1759e-06,0,0,0,0
0.022263,0,0.00062944,0,0,0,0.017907,0.015884,0,0,0.012682,0,5.949e-05,0,0.065505,0,0,4.3643e-05,4.6805e-05,0.00015684,0,0,0,5.222e-05,0,2.6753e-05,0.00048712,6.5088e-05,0.00025955,0.0017551,0.00017642,0.0010689,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0.0034643,0,0.0025446,0,0,0.020816,0,0,0,0,0,0.037279,3.214e-05,0,0.018779,0.0037074,0,0,0,0.010131,0,0.053951,0,0.11818,0.00045442,0,0.0017744,9.2418e-05,4.0176e-05,0,0,0,0,0.00035489,0,0.00051589,0,0,0,0,0,0.04923,0,0,0,0,0,0.00038945,0,0,0,0,3.6009e-05,0,0.016637,0,0.038769,3.1884e-05,0,0,0,0,0,0,0
5.9944e-06,0,0,0.018386,0,0,0.016567,0.032612,0.012682,0,0,0,0.0025777,0,0.0060486,0.00097203,0,0,0,0,0.011437,0,0,0,0.00082693,0,1.4466e-05,0,0.025955,0.002787,0,2.4571e-05,0,0,0,0,0,0,0,0,0,0,0,5.4346e-05,0,0,0,0,0.00061709,0,0,0,0,0.00076582,0,0,0,0,0,0,0,1.9023e-06,0,0,0,0
